Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Datetime,Date
1445385600,270.3,270.4,269.78,270.39,29.30177399,7920.9447171,270.32304323,2015-10-21T00:00:00Z,2015-10-21
1445472000,267.9,267.9,267.75,267.9,8.03089886,2151.4733046,267.89943966,2015-10-22T00:00:00Z,2015-10-22
1445558400,275.21,275.23,275.21,275.23,1.45988124,401.77736067,275.21235952,2015-10-23T00:00:00Z,2015-10-23
1445644800,278.6,278.93,278.31,278.31,0.56604926,157.62524887,278.46560363,2015-10-24T00:00:00Z,2015-10-24
1445731200,283.03,283.2,283.03,283.2,83.17617349,23551.078799,283.14693753,2015-10-25T00:00:00Z,2015-10-25
1445817600,283.96,284.12,283.86,284.06,3.13618493,890.73242441,284.01782557,2015-10-26T00:00:00Z,2015-10-26
1445990400,295.8,295.8,295.8,295.8,0.111,32.8338,295.8,2015-10-28T00:00:00Z,2015-10-28
1446076800,305.67,305.69,305.66,305.67,2.44090123,746.11197298,305.67069401,2015-10-29T00:00:00Z,2015-10-29
1446163200,314.95,314.99,314.95,314.99,5,1574.9489846,314.98979692,2015-10-30T00:00:00Z,2015-10-30
1446249600,328.28,328.28,328.28,328.28,3.54835862,1164.8551678,328.28,2015-10-31T00:00:00Z,2015-10-31
1446336000,310.9,310.9,310.18,310.19,2.0618343,639.61468945,310.21633962,2015-11-01T00:00:00Z,2015-11-01
1446422400,325.78,325.79,325.61,325.79,2.13912696,696.78487261,325.73329477,2015-11-02T00:00:00Z,2015-11-02
1446508800,361.73,363.73,361.73,361.81,72.69210355,26383.098976,362.94312157,2015-11-03T00:00:00Z,2015-11-03
1446595200,404.55,405,404.55,404.97,32.9665432,13349.60524,404.94404158,2015-11-04T00:00:00Z,2015-11-04
1446681600,407.99,408,407.99,408,8.12162529,3313.6227183,407.99995075,2015-11-05T00:00:00Z,2015-11-05
1446768000,387.77,388.13,385.58,388.13,21.55617924,8365.5525698,388.08141631,2015-11-06T00:00:00Z,2015-11-06
1446854400,374.41,375.58,373.82,373.95,6.84921255,2563.1662215,374.22786966,2015-11-07T00:00:00Z,2015-11-07
1446940800,383.62,383.96,383.53,383.96,21.82848906,8375.0043444,383.67311275,2015-11-08T00:00:00Z,2015-11-08
1447027200,372.86,372.9,372.86,372.9,20.97791282,7822.6630906,372.8999714,2015-11-09T00:00:00Z,2015-11-09
1447113600,378.02,379.94,378.02,379.94,52.7502,20026.819468,379.65390593,2015-11-10T00:00:00Z,2015-11-10
1447200000,335.02,336.8,334.79,334.84,8.44955424,2837.150222,335.77513575,2015-11-11T00:00:00Z,2015-11-11
